jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-18-3414-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.718 | eps=0.844
TCGA-18-3414-LUSC.svs | ep 18 | R=1.130 | zoom=1.00 | lambda=0.723 | eps=0.842
TCGA-18-3414-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.718 | eps=0.842
TCGA-18-3414-LUSC.svs | ep 20 | R=1.282 | zoom=0.50 | lambda=0.718 | eps=0.841
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3417-LUSC.svs | ep 1 | R=1.565 | zoom=0.67 | lambda=0.719 | eps=0.840
TCGA-18-3417-LUSC.svs | ep 2 | R=1.281 | zoom=0.50 | lambda=0.719 | eps=0.839
TCGA-18-3417-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.714 | eps=0.839
TCGA-18-3417-LUSC.svs | ep 4 | R=1.286 | zoom=0.50 | lambda=0.714 | eps=0.838
TCGA-18-3417-LUSC.svs | ep 5 | R=0.857 | zoom=1.00 | lambda=0.719 | eps=0.836
TCGA-18-3417-LUSC.svs | ep 6 | R=1.281 | zoom=0.50 | lambda=0.719 | eps=0.836
TCGA-18-3417-LUSC.svs | ep 7 | R=1.281 | zoom=0.50 | lambda=0.719 | eps=0.835
TCGA-18-3417-LUSC.svs | ep 8 | R=1.562 | zoom=0.67 | lambda=0.721 | eps=0.834
TCGA-18-3417-LUSC.svs | ep 9 | R=1.558 | zoom=0.67 | lambda=0.723 | eps=0.832
TCGA-18-3417-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.718 | eps=0.832
TCGA-18-3417-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.713 | eps=0.831
TCGA-18-3417-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.708 | eps=0.831
TCGA-18-3417-LUSC.svs | ep 13 | R=1.292 | zoom=0.50 | lambda=0.708 | eps=0.830
TCGA-18-3417-LUSC.svs | ep 14 | R=1.292 | zoom=0.50 | lambda=0.708 | eps=0.829
TCGA-18-3417-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.703 | eps=0.829
TCGA-18-3417-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.698 | eps=0.829
TCGA-18-3417-LUSC.svs | ep 17 | R=0.907 | zoom=1.00 | lambda=0.703 | eps=0.827
TCGA-18-3417-LUSC.svs | ep 18 | R=0.892 | zoom=1.00 | lambda=0.708 | eps=0.826
TCGA-18-3417-LUSC.svs | ep 19 | R=1.585 | zoom=0.67 | lambda=0.709 | eps=0.825
TCGA-18-3417-LUSC.svs | ep 20 | R=1.291 | zoom=0.50 | lambda=0.709 | eps=0.824
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-4083-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.704 | eps=0.824
TCGA-18-4083-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.699 | eps=0.823
TCGA-18-4083-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.694 | eps=0.823
TCGA-18-4083-LUSC.svs | ep 4 | R=1.306 | zoom=0.50 | lambda=0.694 | eps=0.822
TCGA-18-4083-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.689 | eps=0.822
TCGA-18-4083-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.684 | eps=0.821
TCGA-18-4083-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.679 | eps=0.821
TCGA-18-4083-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.674 | eps=0.820
TCGA-18-4083-LUSC.svs | ep 9 | R=1.326 | zoom=0.50 | lambda=0.674 | eps=0.820
TCGA-18-4083-LUSC.svs | ep 10 | R=1.326 | zoom=0.50 | lambda=0.674 | eps=0.819
